age,mx,qx,lx,dx,ex,sex
0,0.003528,0.003522,100000.0,352.2,83.06,F
1,0.000213,0.000213,99647.8,21.2,82.36,F
2,0.000114,0.000114,99626.6,11.4,81.37,F
3,0.000093,0.000093,99615.2,9.3,80.38,F
4,0.000066,0.000066,99605.9,6.6,79.39,F
5,0.000077,0.000077,99599.3,7.7,78.39,F
6,0.000068,0.000068,99591.7,6.8,77.40,F
7,0.000053,0.000053,99584.9,5.2,76.41,F
8,0.000053,0.000053,99579.7,5.3,75.41,F
9,0.000055,0.000055,99574.4,5.4,74.41,F
10,0.000066,0.000066,99569.0,6.6,73.42,F
11,0.000054,0.000054,99562.4,5.4,72.42,F
12,0.000054,0.000054,99557.0,5.3,71.43,F
13,0.000087,0.000087,99551.6,8.7,70.43,F
14,0.000093,0.000093,99543.0,9.3,69.44,F
15,0.000107,0.000107,99533.7,10.7,68.44,F
16,0.000125,0.000125,99523.0,12.4,67.45,F
17,0.000154,0.000154,99510.6,15.3,66.46,F
18,0.000207,0.000207,99495.3,20.6,65.47,F
19,0.000208,0.000208,99474.7,20.7,64.48,F
20,0.000182,0.000182,99454.0,18.1,63.50,F
21,0.000198,0.000198,99435.9,19.7,62.51,F
22,0.000234,0.000234,99416.2,23.2,61.52,F
23,0.000197,0.000197,99393.0,19.6,60.53,F
24,0.000213,0.000213,99373.4,21.2,59.55,F
25,0.000253,0.000253,99352.2,25.1,58.56,F
26,0.000256,0.000256,99327.1,25.5,57.57,F
27,0.000294,0.000294,99301.7,29.2,56.59,F
28,0.000300,0.000300,99272.5,29.8,55.60,F
29,0.000316,0.000316,99242.7,31.3,54.62,F
30,0.000377,0.000377,99211.4,37.4,53.64,F
31,0.000376,0.000376,99174.0,37.3,52.66,F
32,0.000439,0.000439,99136.7,43.5,51.68,F
33,0.000478,0.000478,99093.2,47.4,50.70,F
34,0.000559,0.000559,99045.8,55.4,49.72,F
35,0.000570,0.000569,98990.4,56.4,48.75,F
36,0.000636,0.000636,98934.1,62.9,47.78,F
37,0.000731,0.000731,98871.2,72.3,46.81,F
38,0.000777,0.000777,98798.9,76.7,45.84,F
39,0.000805,0.000804,98722.2,79.4,44.88,F
40,0.000860,0.000860,98642.8,84.8,43.91,F
41,0.000946,0.000946,98557.9,93.2,42.95,F
42,0.001064,0.001064,98464.7,104.7,41.99,F
43,0.001166,0.001166,98360.0,114.6,41.04,F
44,0.001307,0.001306,98245.3,128.3,40.08,F
45,0.001436,0.001435,98117.0,140.8,39.13,F
46,0.001559,0.001557,97976.2,152.6,38.19,F
47,0.001684,0.001683,97823.6,164.6,37.25,F
48,0.001917,0.001915,97659.0,187.0,36.31,F
49,0.002004,0.002002,97472.0,195.2,35.38,F
50,0.002156,0.002154,97276.8,209.5,34.45,F
51,0.002397,0.002394,97067.3,232.4,33.52,F
52,0.002517,0.002514,96834.9,243.5,32.60,F
53,0.002695,0.002691,96591.4,259.9,31.68,F
